,Si,Sj,x
0,0,1,S
1,0,2,m
2,2,3,K
3,2,4,l
4,4,5,N
5,4,6,M
6,4,7,e
7,4,8,i
8,4,9,w
9,4,10,K
10,4,11,l
11,11,12,N
12,11,6,M
13,11,7,e
14,11,8,i
15,11,9,w
16,11,10,K
17,11,11,l
18,12,13,r
19,9,14,a
20,14,15,B
21,14,16,T
22,14,17,i
23,14,18,n
24,16,19,o
25,16,20,p
26,20,21,T
27,20,22,i
28,20,23,n
29,19,24,T
30,19,22,i
31,19,23,n
32,15,25,b
33,25,26,M
34,25,8,i
35,25,9,w
36,25,10,K
37,25,11,l
38,8,27,q
39,27,28,E
40,27,29,F
41,27,30,G
42,27,31,a
43,27,32,T
44,27,33,i
45,27,34,n
46,31,35,E
47,31,36,F
48,31,37,G
49,31,38,a
50,31,39,T
51,31,40,i
52,31,41,n
53,38,42,E
54,38,36,F
55,38,37,G
56,38,38,a
57,38,39,T
58,38,40,i
59,38,41,n
60,42,43,b
61,42,44,s
62,44,45,F
63,44,37,G
64,44,38,a
65,44,39,T
66,44,40,i
67,44,41,n
68,45,46,x
69,46,47,G
70,46,38,a
71,46,39,T
72,46,40,i
73,46,41,n
74,36,46,x
75,35,48,b
76,35,44,s
77,29,49,x
78,49,50,G
79,49,31,a
80,49,32,T
81,49,33,i
82,49,34,n
83,28,51,z
84,28,52,s
85,52,53,F
86,52,30,G
87,52,31,a
88,52,32,T
89,52,33,i
90,52,34,n
91,53,49,x
92,6,54,N
93,6,6,M
94,6,7,e
95,6,8,i
96,6,9,w
97,6,10,K
98,6,11,l
99,5,55,r
